"","director_name","movies","imdb","imdb_avg","budget","gross","profit","rank"
"498","Adam Shankman",1,7.4,7.4,1,1,1,271
"499","Christopher McQuarrie",1,7.4,7.4,1,1,1,271
"500","Craig Brewer",1,7.4,7.4,1,1,1,271
"501","Craig Gillespie",1,7.4,7.4,1,1,1,271
"502","Dan Curtis",1,7.4,7.4,0,0,0,271
"503","David Dobkin",1,7.4,7.4,1,1,1,271
"504","David Silverman",1,7.4,7.4,1,1,1,271
"505","Duncan Tucker",1,7.4,7.4,1,1,1,271
"506","Eric Lartigau",1,7.4,7.4,1,0,0,271
"507","Feroz Abbas Khan",1,7.4,7.4,0,1,0,271
"508","Frank Oz",1,7.4,7.4,1,1,1,271
"509","George Armitage",1,7.4,7.4,1,1,1,271
"510","Glenn Ficarra",1,7.4,7.4,1,1,1,271
"511","Goran Dukic",1,7.4,7.4,1,1,1,271
"512","Iain Softley",1,7.4,7.4,1,1,1,271
"513","Jirí Menzel",1,7.4,7.4,1,1,1,271
"514","John Boorman",1,7.4,7.4,1,0,0,271
"515","John Dahl",1,7.4,7.4,1,1,1,271
"516","Kiyoshi Kurosawa",1,7.4,7.4,1,1,1,271
"517","Michael Dowse",1,7.4,7.4,0,1,0,271
"518","Michael O. Sajbel",1,7.4,7.4,0,1,0,271
"519","Miranda July",1,7.4,7.4,1,1,1,271
"520","Morgan Neville",1,7.4,7.4,1,1,1,271
"521","Nat Faxon",1,7.4,7.4,1,1,1,271
"522","Patricia Riggen",1,7.4,7.4,0,1,0,271
"523","Patrick Creadon",1,7.4,7.4,0,1,0,271
"524","Pawel Pawlikowski",1,7.4,7.4,0,1,0,271
"525","Peyton Reed",1,7.4,7.4,1,1,1,271
"526","Raymond De Felitta",1,7.4,7.4,1,1,1,271
"527","Rian Johnson",1,7.4,7.4,1,1,1,271
"528","Robert C. Cooper",1,7.4,7.4,0,0,0,271
"529","Scandar Copti",1,7.4,7.4,0,1,0,271
"530","Siddiq Barmak",1,7.4,7.4,1,1,1,271
"531","Theodore Witcher",1,7.4,7.4,1,1,1,271
"532","Todd Haynes",1,7.4,7.4,1,1,1,271
"533","Uli Edel",1,7.4,7.4,1,1,1,271
"534","Wayne Kramer",1,7.4,7.4,1,1,1,271
"535","Andrea Arnold",1,7.3,7.3,0,1,0,212.5
"536","Andrew Leman",1,7.3,7.3,1,0,0,212.5
"537","Barry Sonnenfeld",1,7.3,7.3,1,1,1,212.5
"538","Ben Stiller",1,7.3,7.3,1,1,1,212.5
"539","Benh Zeitlin",1,7.3,7.3,1,1,1,212.5
"540","Bob Giraldi",1,7.3,7.3,0,1,0,212.5
"541","Cédric Klapisch",1,7.3,7.3,1,1,1,212.5
"542","Charles Herman-Wurmfeld",1,7.3,7.3,1,1,1,212.5
"543","Christopher Morris",1,7.3,7.3,0,1,0,212.5
"544","Costa-Gavras",1,7.3,7.3,1,1,1,212.5
"545","Dan Harris",1,7.3,7.3,1,1,1,212.5
"546","Dan O'Bannon",1,7.3,7.3,1,0,0,212.5
"547","Dan Scanlon",1,7.3,7.3,1,1,1,212.5
"548","Dan Trachtenberg",1,7.3,7.3,1,1,1,212.5
"549","David Mamet",1,7.3,7.3,1,1,1,212.5
"550","David Oelhoffen",1,7.3,7.3,1,0,0,212.5
"551","Dean Parisot",1,7.3,7.3,1,1,1,212.5
"552","Duke Johnson",1,7.3,7.3,1,1,1,212.5
"553","Eytan Fox",1,7.3,7.3,1,1,1,212.5
"554","Fatih Akin",1,7.3,7.3,1,1,1,212.5
"555","Ferzan Ozpetek",1,7.3,7.3,0,0,0,212.5
"556","Gary Fleder",1,7.3,7.3,1,1,1,212.5
"557","Gavin Hood",1,7.3,7.3,1,1,1,212.5
"558","Gillian Armstrong",1,7.3,7.3,1,1,1,212.5
"559","Gregory Hoblit",1,7.3,7.3,1,1,1,212.5
"560","Hans Petter Moland",1,7.3,7.3,1,1,1,212.5
"561","Jacob Aaron Estes",1,7.3,7.3,1,1,1,212.5
"562","Jeannot Szwarc",1,7.3,7.3,1,0,0,212.5
"563","Jee-woon Kim",1,7.3,7.3,1,1,1,212.5
"564","Jennifer Yuh Nelson",1,7.3,7.3,1,1,1,212.5
"565","Jerry Rees",1,7.3,7.3,1,0,0,212.5
"566","John Michael McDonagh",1,7.3,7.3,1,1,1,212.5
"567","John Wells",1,7.3,7.3,1,1,1,212.5
"568","Johnnie To",1,7.3,7.3,1,1,1,212.5
"569","Jonathan Glazer",1,7.3,7.3,0,1,0,212.5
"570","Jorge R. Gutiérrez",1,7.3,7.3,1,1,1,212.5
"571","Kasi Lemmons",1,7.3,7.3,1,1,1,212.5
"572","Kenny Ortega",1,7.3,7.3,1,1,1,212.5
"573","Kirk De Micco",1,7.3,7.3,1,1,1,212.5
"574","Leonard Nimoy",1,7.3,7.3,1,1,1,212.5
"575","Lone Scherfig",1,7.3,7.3,1,1,1,212.5
"576","Louis Leterrier",1,7.3,7.3,1,1,1,212.5
"577","Maggie Greenwald",1,7.3,7.3,1,1,1,212.5
"578","Maïwenn",1,7.3,7.3,0,1,0,212.5
"579","Mark Dindal",1,7.3,7.3,1,1,1,212.5
"580","Max Färberböck",1,7.3,7.3,1,1,1,212.5
"581","Michael Polish",1,7.3,7.3,1,1,1,212.5
"582","Michael Ritchie",1,7.3,7.3,0,0,0,212.5
"583","Mike Cahill",1,7.3,7.3,0,1,0,212.5
"584","Morgan Spurlock",1,7.3,7.3,1,1,1,212.5
"585","Neil LaBute",1,7.3,7.3,1,1,1,212.5
"586","Nicholas Fackler",1,7.3,7.3,1,1,1,212.5
"587","Ole Christian Madsen",1,7.3,7.3,1,1,1,212.5
"588","Olivier Assayas",1,7.3,7.3,1,1,1,212.5
"589","Patrice Leconte",1,7.3,7.3,1,1,1,212.5
"590","Patty Jenkins",1,7.3,7.3,1,1,1,212.5
"591","Paul Crowder",1,7.3,7.3,1,1,1,212.5
"592","Peter Chelsom",1,7.3,7.3,0,1,0,212.5
"593","Peter Farrelly",1,7.3,7.3,1,1,1,212.5
"594","Peter Ramsey",1,7.3,7.3,1,1,1,212.5
"595","Richard Ayoade",1,7.3,7.3,0,1,0,212.5
"596","Richard J. Lewis",1,7.3,7.3,0,1,0,212.5
"597","Rick Famuyiwa",1,7.3,7.3,1,1,1,212.5
"598","Robert Altman",1,7.3,7.3,1,1,1,212.5
"599","Robert Sarkies",1,7.3,7.3,0,1,0,212.5
"600","Scott Cooper",1,7.3,7.3,1,1,1,212.5
"601","Sergey Bodrov",1,7.3,7.3,1,1,1,212.5
"602","Sergey Bondarchuk",1,7.3,7.3,1,0,0,212.5
"603","Simon Curtis",1,7.3,7.3,1,1,1,212.5
"604","Stephen Herek",1,7.3,7.3,1,1,1,212.5
"605","Stephen J. Anderson",1,7.3,7.3,1,1,1,212.5
"606","Stephen Kijak",1,7.3,7.3,1,0,0,212.5
"607","Theodore Melfi",1,7.3,7.3,1,1,1,212.5
"608","Tom McGrath",1,7.3,7.3,1,1,1,212.5
"609","Tony Gilroy",1,7.3,7.3,1,1,1,212.5
"610","Victor Salva",1,7.3,7.3,1,1,1,212.5
"611","Vincenzo Natali",1,7.3,7.3,1,1,1,212.5
"612","Vipul Amrutlal Shah",1,7.3,7.3,0,1,0,212.5
"613","Werner Herzog",1,7.3,7.3,1,1,1,212.5
"614","Yorgos Lanthimos",1,7.3,7.3,0,1,0,212.5
"615","Adam Brooks",1,7.2,7.2,0,1,0,130
"616","Aki Kaurismäki",1,7.2,7.2,1,1,1,130
"617","Alan Alda",1,7.2,7.2,0,0,0,130
"618","Alessandro Carloni",1,7.2,7.2,1,1,1,130
"619","Allan Dwan",1,7.2,7.2,1,0,0,130
"620","Allen Coulter",1,7.2,7.2,1,1,1,130
"621","Amy Heckerling",1,7.2,7.2,1,0,0,130
"622","Angelina Jolie Pitt",1,7.2,7.2,1,1,1,130
"623","Anna Boden",1,7.2,7.2,1,1,1,130
"624","Ben Lewin",1,7.2,7.2,1,1,1,130
"625","Billy Ray",1,7.2,7.2,1,1,1,130
"626","Brett Ratner",1,7.2,7.2,1,1,1,130
"627","Brian Gibson",1,7.2,7.2,0,1,0,130
"628","C. Jay Cox",1,7.2,7.2,1,1,1,130
"629","Carlos Saura",1,7.2,7.2,1,1,1,130
"630","Chris Eyre",1,7.2,7.2,1,1,1,130
"631","Courtney Hunt",1,7.2,7.2,1,1,1,130
"632","D.J. Caruso",1,7.2,7.2,1,1,1,130
"633","Daniel Barber",1,7.2,7.2,1,1,1,130
"634","David S. Ward",1,7.2,7.2,1,1,1,130
"635","Debra Granik",1,7.2,7.2,1,1,1,130
"636","Don Coscarelli",1,7.2,7.2,1,0,0,130
"637","Edward Hall",1,7.2,7.2,0,0,0,130
"638","François Truffaut",1,7.2,7.2,1,1,1,130
"639","Gabor Csupo",1,7.2,7.2,1,1,1,130
"640","Gil Junger",1,7.2,7.2,1,1,1,130
"641","Greg Marcks",1,7.2,7.2,1,0,0,130
"642","Henry Bean",1,7.2,7.2,1,1,1,130
"643","Hugh Hudson",1,7.2,7.2,1,1,1,130
"644","James Gartner",1,7.2,7.2,0,1,0,130
"645","Jan de Bont",1,7.2,7.2,1,1,1,130
"646","Jason Moore",1,7.2,7.2,1,1,1,130
"647","Joe Carnahan",1,7.2,7.2,1,1,1,130
"648","Joe Dante",1,7.2,7.2,1,1,1,130
"649","Jonathan Caouette",1,7.2,7.2,1,1,1,130
"650","Lawrence Kasdan",1,7.2,7.2,1,1,1,130
"651","Lee Toland Krieger",1,7.2,7.2,1,1,1,130
"652","Len Wiseman",1,7.2,7.2,1,1,1,130
"653","Marc Levin",1,7.2,7.2,1,1,1,130
"654","Mark Andrews",1,7.2,7.2,1,1,1,130
"655","Mark Pellington",1,7.2,7.2,1,1,1,130
"656","Mark Romanek",1,7.2,7.2,1,1,1,130
"657","Max Mayer",1,7.2,7.2,0,1,0,130
"658","Melville Shavelson",1,7.2,7.2,1,0,0,130
"659","Mervyn LeRoy",1,7.2,7.2,1,0,0,130
"660","Michael Burke",1,7.2,7.2,1,0,0,130
"661","Michael Cuesta",1,7.2,7.2,1,1,1,130
"662","Michael Landon Jr.",1,7.2,7.2,1,1,1,130
"663","Michel Leclerc",1,7.2,7.2,1,1,1,130
"664","Mike Mills",1,7.2,7.2,1,1,1,130
"665","Mimi Leder",1,7.2,7.2,1,1,1,130
"666","Nacho Vigalondo",1,7.2,7.2,1,1,1,130
"667","Nadia Tass",1,7.2,7.2,1,0,0,130
"668","Nadine Labaki",1,7.2,7.2,1,1,1,130
"669","Nancy Meyers",1,7.2,7.2,1,1,1,130
"670","Neil Marshall",1,7.2,7.2,1,1,1,130
"671","Nicholas Stoller",1,7.2,7.2,1,1,1,130
"672","Nigel Cole",1,7.2,7.2,1,1,1,130
"673","Nimród Antal",1,7.2,7.2,0,1,0,130
"674","Ol Parker",1,7.2,7.2,0,0,0,130
"675","Oren Moverman",1,7.2,7.2,1,1,1,130
"676","Paul King",1,7.2,7.2,1,1,1,130
"677","Peter Cattaneo",1,7.2,7.2,1,1,1,130
"678","Peter Kosminsky",1,7.2,7.2,1,1,1,130
"679","Peter Sollett",1,7.2,7.2,1,1,1,130
"680","R. Balki",1,7.2,7.2,1,1,1,130
"681","Randal Kleiser",1,7.2,7.2,1,1,1,130
"682","Richard Williams",1,7.2,7.2,1,1,1,130
"683","Robert Duvall",1,7.2,7.2,1,1,1,130
"684","Robert Towne",1,7.2,7.2,1,1,1,130
"685","Rodrigo García",1,7.2,7.2,1,1,1,130
"686","Russell Mulcahy",1,7.2,7.2,1,1,1,130
"687","Ryan Fleck",1,7.2,7.2,1,1,1,130
"688","Sam Taylor-Johnson",1,7.2,7.2,0,1,0,130
"689","Steve Buscemi",1,7.2,7.2,1,1,1,130
"690","Steve Martino",1,7.2,7.2,1,1,1,130
"691","Susanne Bier",1,7.2,7.2,1,1,1,130
"692","Sylvester Stallone",1,7.2,7.2,1,1,1,130
"693","Takeshi Kitano",1,7.2,7.2,1,1,1,130
"694","Tamara Jenkins",1,7.2,7.2,0,1,0,130
"695","Thomas Carter",1,7.2,7.2,1,1,1,130
"696","Vic Sarin",1,7.2,7.2,1,0,0,130
"697","Wilson Yip",1,7.2,7.2,1,1,1,130
"698","Woo-Suk Kang",1,7.2,7.2,1,0,0,130
"699","Xavier Beauvois",1,7.2,7.2,1,1,1,130
"700","Aaron Schneider",1,7.1,7.1,1,1,1,44
"701","Adrienne Shelly",1,7.1,7.1,1,1,1,44
"702","Alan Taylor",1,7.1,7.1,1,1,1,44
"703","Antonia Bird",1,7.1,7.1,1,1,1,44
"704","Baltasar Kormákur",1,7.1,7.1,1,1,1,44
"705","Bille August",1,7.1,7.1,1,0,0,44
"706","Blake Edwards",1,7.1,7.1,1,0,0,44
"707","Bobby Farrelly",1,7.1,7.1,1,1,1,44
"708","Brian Baugh",1,7.1,7.1,1,1,1,44
"709","Brian Klugman",1,7.1,7.1,1,1,1,44
"710","Catherine Hardwicke",1,7.1,7.1,1,1,1,44
"711","Dan Fogelman",1,7.1,7.1,1,1,1,44
"712","Danny Leiner",1,7.1,7.1,1,1,1,44
"713","Dany Boon",1,7.1,7.1,1,0,0,44
"714","David Frankel",1,7.1,7.1,1,1,1,44
"715","David LaChapelle",1,7.1,7.1,0,1,0,44
"716","David Slade",1,7.1,7.1,1,1,1,44
"717","David Twohy",1,7.1,7.1,1,1,1,44
"718","François Ozon",1,7.1,7.1,1,1,1,44
"719","Genndy Tartakovsky",1,7.1,7.1,1,1,1,44
"720","George Nolfi",1,7.1,7.1,1,1,1,44
"721","Guillaume Canet",1,7.1,7.1,1,1,1,44
"722","Hans Canosa",1,7.1,7.1,1,1,1,44
"723","Henry Hathaway",1,7.1,7.1,1,0,0,44
"724","Henry Joost",1,7.1,7.1,1,1,1,44
"725","István Szabó",1,7.1,7.1,1,1,1,44
"726","J.C. Chandor",1,7.1,7.1,1,1,1,44
"727","Jack Conway",1,7.1,7.1,1,0,0,44
"728","Jake Schreier",1,7.1,7.1,1,1,1,44
"729","James Bobin",1,7.1,7.1,1,1,1,44
"730","James Gray",1,7.1,7.1,1,1,1,44
"731","James Ponsoldt",1,7.1,7.1,1,1,1,44
"732","Jay Chandrasekhar",1,7.1,7.1,1,1,1,44
"733","Jean-Paul Rappeneau",1,7.1,7.1,0,1,0,44
"734","Jeremy Sims",1,7.1,7.1,1,0,0,44
"735","Jill Sprecher",1,7.1,7.1,1,1,1,44
"736","Jim Sheridan",1,7.1,7.1,1,1,1,44
"737","Joel Edgerton",1,7.1,7.1,1,1,1,44
"738","John Badham",1,7.1,7.1,1,1,1,44
"739","John Hamburg",1,7.1,7.1,1,1,1,44
"740","John Maybury",1,7.1,7.1,1,1,1,44
"741","Jonathan Teplitzky",1,7.1,7.1,1,1,1,44
"742","Josh Trank",1,7.1,7.1,1,1,1,44
"743","Judd Apatow",1,7.1,7.1,1,1,1,44
"744","Justin Chadwick",1,7.1,7.1,1,1,1,44
"745","Justin Kerrigan",1,7.1,7.1,1,1,1,44
"746","Kelly Reichardt",1,7.1,7.1,1,1,1,44
"747","Kevin Lima",1,7.1,7.1,1,1,1,44
"748","Lajos Koltai",1,7.1,7.1,0,1,0,44
"749","Lee Tamahori",1,7.1,7.1,1,1,1,44
"750","Leos Carax",1,7.1,7.1,0,0,0,44
"751","Lewis Gilbert",1,7.1,7.1,1,1,1,44
"752","Lisa Cholodenko",1,7.1,7.1,1,1,1,44
"753","Martin Koolhoven",1,7.1,7.1,1,1,1,44
"754","McG",1,7.1,7.1,1,1,1,44
"755","Michael Radford",1,7.1,7.1,1,1,1,44
"756","Nae Caranfil",1,7.1,7.1,1,0,0,44
"757","Nicole Holofcener",1,7.1,7.1,1,1,1,44
"758","Pete Travis",1,7.1,7.1,1,1,1,44
"759","Peter Care",1,7.1,7.1,1,1,1,44
"760","Peter Hedges",1,7.1,7.1,1,1,1,44
"761","Peter Ho-Sun Chan",1,7.1,7.1,1,1,1,44
"762","Peter Landesman",1,7.1,7.1,1,1,1,44
"763","Prachya Pinkaew",1,7.1,7.1,1,1,1,44
"764","Ralph Nelson",1,7.1,7.1,0,0,0,44
"765","Reed Cowan",1,7.1,7.1,1,1,1,44
"766","Renny Harlin",1,7.1,7.1,1,1,1,44
"767","Roger Spottiswoode",1,7.1,7.1,1,1,1,44
"768","Roland Emmerich",1,7.1,7.1,1,1,1,44
"769","Ron Underwood",1,7.1,7.1,1,1,1,44
"770","Russell Crowe",1,7.1,7.1,1,1,1,44
"771","Sarah Smith",1,7.1,7.1,1,1,1,44
"772","Sean McNamara",1,7.1,7.1,1,1,1,44
"773","Shane Acker",1,7.1,7.1,1,1,1,44
"774","Shawn Levy",1,7.1,7.1,1,1,1,44
"775","Spencer Susser",1,7.1,7.1,1,1,1,44
"776","Stephen Hopkins",1,7.1,7.1,0,1,0,44
"777","Stephen Norrington",1,7.1,7.1,1,1,1,44
"778","Steven Shainberg",1,7.1,7.1,1,1,1,44
"779","Terence Davies",1,7.1,7.1,1,1,1,44
"780","Tim Hunter",1,7.1,7.1,1,1,1,44
"781","Tomas Alfredson",1,7.1,7.1,1,1,1,44
"782","Tung-Shing Yee",1,7.1,7.1,1,0,0,44
"783","Vincente Minnelli",1,7.1,7.1,1,1,1,44
"784","Walter Hill",1,7.1,7.1,1,0,0,44
"785","Walter Lang",1,7.1,7.1,0,0,0,44
"786","Will Gluck",1,7.1,7.1,1,1,1,44
