"","state","city","certified","withdraw","cert_withdraw","reject","denied","invalidated","pending","total","rank"
"618","TEXAS","CARROLLTON",1881,49,99,0,65,0,0,2094,1084
"619","NEW YORK","CLARENCE",82,0,8,0,4,0,0,94,1083.5
"620","NEW YORK","HAMILTON",81,1,0,0,12,0,0,94,1083.5
"621","NEW JERSEY","FORT LEE",897,46,26,0,71,0,0,1040,1083
"622","TEXAS","THE WOODLANDS",1677,83,143,0,91,0,0,1994,1083
"623","NEW JERSEY","CHERRY HILL",927,30,35,0,34,0,0,1026,1082
"624","NEW YORK","CENTRAL ISLIP",86,3,0,0,3,0,0,92,1082
"625","TEXAS","COLLEGE STATION",1470,52,406,0,61,0,0,1989,1082
"626","NEW JERSEY","EAST WINDSOR",911,9,25,0,10,0,0,955,1081
"627","NEW YORK","PALISADES",71,3,14,0,3,0,0,91,1081
"628","TEXAS","LEWISVILLE",1507,31,84,0,38,0,0,1660,1081
"629","CALIFORNIA","#41740 SAN DIEGO CA MSA",15,1,0,0,0,0,0,16,1080.5
"630","CALIFORNIA","EXETER",12,0,0,0,4,0,0,16,1080.5
"631","CALIFORNIA","HINKLEY",10,1,5,0,0,0,0,16,1080.5
"632","CALIFORNIA","OLIVEHURST",12,1,0,0,3,0,0,16,1080.5
"633","CALIFORNIA","PINOLE",15,1,0,0,0,0,0,16,1080.5
"634","CALIFORNIA","RIPON",13,1,1,0,1,0,0,16,1080.5
"635","CALIFORNIA","TUPMAN",15,0,1,0,0,0,0,16,1080.5
"636","CALIFORNIA","WILLITS",16,0,0,0,0,0,0,16,1080.5
"637","NEW JERSEY","WHIPPANY",844,19,53,0,12,0,0,928,1080
"638","NEW YORK","NEWBURGH",71,4,5,0,10,0,0,90,1080
"639","TEXAS","EL PASO",1322,51,141,0,125,0,0,1639,1080
"640","NEW JERSEY","UNION",827,11,32,0,25,0,0,895,1079
"641","NEW YORK","BRIARCLIFF MANOR",62,0,17,0,8,0,0,87,1079
"642","TEXAS","KATY",1274,39,66,0,55,0,0,1434,1079
"643","NEW JERSEY","HAMILTON",766,15,39,0,29,0,0,849,1078
"644","NEW YORK","WATERTOWN",71,2,10,0,3,0,0,86,1078
"645","TEXAS","SOUTHLAKE",1243,47,51,0,23,0,0,1364,1078
